customerId,cohort_month,first_order_date,last_order_date,total_orders,total_revenue,avg_order_value,first_order_channel,first_order_amount,last_order_channel,recency_score,frequency_score,monetary_score,rfm_score,rfm_segment,value_tier,behaviour_state,channel_group
6524949.7576513689,12,2020-12-10 08:28:29.056755 UTC,2020-12-10 08:28:29.056755 UTC,1,3.2e-05,3.2e-05,shop.googlemerchandisestore.com,3.2e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
71766434.3843515045,12,2020-12-16 13:11:11.817635 UTC,2020-12-16 13:11:11.817635 UTC,1,3.2e-05,3.2e-05,shop.googlemerchandisestore.com,3.2e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,At Risk,Internal / Self Referral
57746381.0758593356,1,2021-01-22 13:44:54.215414 UTC,2021-01-22 13:44:54.215414 UTC,1,3.2e-05,3.2e-05,shop.googlemerchandisestore.com,3.2e-05,shop.googlemerchandisestore.com,4,4,4,444,Champions,Bronze,New,Internal / Self Referral
89390038.6968892645,12,2020-12-26 05:21:58.414595 UTC,2020-12-26 05:21:58.414595 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
56113189.2026367185,12,2020-12-09 19:01:33.205823 UTC,2020-12-09 19:01:33.205823 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
5945718.9383173023,11,2020-11-14 17:52:55.941024 UTC,2020-11-14 17:52:55.941024 UTC,1,0.000354,0.000354,<Other>,0.000354,<Other>,1,4,1,141,At Risk,Platinum,At Risk,Other / Unknown
28394349.8695847806,12,2020-12-08 17:12:07.341877 UTC,2020-12-08 17:12:07.341877 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
40980474.3890528687,12,2020-12-25 13:03:31.46418 UTC,2020-12-25 13:03:31.46418 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
4681297.3857867397,1,2021-01-22 17:53:31.233432 UTC,2021-01-22 17:53:31.233432 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,New,Search (Paid/Organic)
1890178.6076718573,12,2020-12-11 14:02:37.914416 UTC,2020-12-11 14:02:37.914416 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
66893006.1942990677,12,2020-12-10 18:39:29.025577 UTC,2020-12-10 18:39:29.025577 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
6449198.2526522279,1,2021-01-23 11:06:53.74523 UTC,2021-01-23 11:06:53.74523 UTC,1,0.000355,0.000355,google,0.000355,google,1,4,1,141,At Risk,Platinum,New,Search (Paid/Organic)
3051995.7094224224,11,2020-11-02 11:26:49.654141 UTC,2020-11-02 11:26:49.654141 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
7295755.2837047873,12,2020-12-18 02:33:39.712031 UTC,2020-12-18 02:33:39.712031 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
5298181.7137406370,12,2020-12-02 15:16:37.416157 UTC,2020-12-02 15:16:37.416157 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
30804246.1427824751,11,2020-11-06 04:44:32.03629 UTC,2020-11-06 04:44:32.03629 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
40787617.1411349210,12,2020-12-01 03:21:13.310946 UTC,2020-12-01 03:21:13.310946 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
46589160.1790293902,11,2020-11-17 13:27:28.883624 UTC,2020-11-17 13:27:28.883624 UTC,1,3.2e-05,3.2e-05,google,3.2e-05,google,4,4,4,444,Champions,Bronze,At Risk,Search (Paid/Organic)
