customerId,first_order_date,last_order_date,total_orders,total_revenue,first_order_channel,first_order_amount,last_order_channel
7833704.5580277942,2020-12-17 08:07:14.672421 UTC,2020-12-17 08:07:14.672421 UTC,1,7e-06,(direct),7e-06,(direct)
7933980.0073382229,2021-01-21 01:49:10.932184 UTC,2021-01-21 01:49:10.932184 UTC,1,1.3e-05,(data deleted),1.3e-05,(data deleted)
80465212.0037269782,2020-11-29 13:44:31.993434 UTC,2020-11-29 13:44:31.993434 UTC,1,2.9e-05,(data deleted),2.9e-05,(data deleted)
8278411.7423220409,2020-12-10 17:33:35.505291 UTC,2020-12-11 14:36:04.523999 UTC,4,0.000246,(data deleted),6.6e-05,<Other>
8620049.6567104406,2020-11-02 10:38:36.646939 UTC,2020-11-02 10:38:36.646939 UTC,1,5.1e-05,google,5.1e-05,google
9081882.0797388482,2021-01-15 03:05:41.939851 UTC,2021-01-15 03:05:41.939851 UTC,1,2.4e-05,(direct),2.4e-05,(direct)
9316296.6895701928,2020-12-18 08:51:46.817826 UTC,2020-12-18 08:51:46.817826 UTC,1,9.9e-05,shop.googlemerchandisestore.com,9.9e-05,shop.googlemerchandisestore.com
1089178.9103594365,2020-12-01 23:43:50.632221 UTC,2020-12-01 23:43:50.632221 UTC,1,2.8e-05,shop.googlemerchandisestore.com,2.8e-05,shop.googlemerchandisestore.com
11383596.2291019550,2021-01-24 06:30:08.878157 UTC,2021-01-24 06:30:08.878157 UTC,1,9.4e-05,google,9.4e-05,google
11464749.3857585224,2020-12-04 05:17:27.875669 UTC,2020-12-04 05:17:27.875669 UTC,1,3e-05,google,3e-05,google
17809571.4308076628,2020-12-04 04:20:19.949899 UTC,2020-12-04 04:20:19.949899 UTC,1,4.8e-05,(data deleted),4.8e-05,(data deleted)
2017544.1570506370,2020-11-17 05:30:33.251206 UTC,2020-11-17 05:30:33.251206 UTC,1,2.3e-05,(data deleted),2.3e-05,(data deleted)
20631378.7981176516,2021-01-06 03:52:03.852196 UTC,2021-01-06 03:52:03.852196 UTC,1,3.8e-05,(direct),3.8e-05,(direct)
20642408.1006700881,2021-01-19 19:30:18.263576 UTC,2021-01-19 19:30:18.263576 UTC,1,9.9e-05,shop.googlemerchandisestore.com,9.9e-05,shop.googlemerchandisestore.com
2232198.6371873310,2020-12-07 17:09:06.344821 UTC,2020-12-07 17:09:06.344821 UTC,1,5.8e-05,<Other>,5.8e-05,<Other>
22909370.2921134609,2021-01-15 22:50:11.747725 UTC,2021-01-15 22:50:11.747725 UTC,1,1.2e-05,(data deleted),1.2e-05,(data deleted)
2387737.8440654529,2020-12-17 16:14:04.705155 UTC,2021-01-06 13:21:22.355823 UTC,2,4.8e-05,<Other>,2.4e-05,<Other>
25093846.1157408806,2021-01-19 11:35:44.546857 UTC,2021-01-19 11:35:44.546857 UTC,1,2.1e-05,(direct),2.1e-05,(direct)
26105678.1036002654,2020-12-06 13:32:03.825095 UTC,2021-01-07 15:19:51.057347 UTC,2,7e-05,(data deleted),3.8e-05,google
2801511.1336263011,2020-12-16 15:27:15.902995 UTC,2020-12-16 15:27:15.902995 UTC,1,3.7e-05,<Other>,3.7e-05,<Other>
30294528.5063782336,2020-11-06 06:26:43.793127 UTC,2020-11-06 06:26:43.793127 UTC,1,2.2e-05,google,2.2e-05,google
32315141.7266068238,2020-11-06 06:35:12.779828 UTC,2020-11-06 06:35:12.779828 UTC,1,2e-05,google,2e-05,google
3370196.0460875623,2020-11-16 22:45:49.154336 UTC,2020-11-16 22:45:49.154336 UTC,1,0.000102,(data deleted),0.000102,(data deleted)
34598529.4237983059,2021-01-17 20:19:40.97847 UTC,2021-01-17 20:19:40.97847 UTC,1,1.1e-05,google,1.1e-05,google
44050879.9039342218,2020-12-08 13:40:39.394651 UTC,2020-12-08 13:40:39.394651 UTC,1,7.2e-05,google,7.2e-05,google
49625864.9176816663,2020-11-28 08:19:59.016493 UTC,2020-11-28 08:19:59.016493 UTC,1,7.6e-05,<Other>,7.6e-05,<Other>
5002787.9583537280,2020-11-17 07:55:01.56169 UTC,2020-11-24 22:55:58.812538 UTC,2,9.6e-05,(data deleted),2.4e-05,(data deleted)
51153409.8050128631,2020-12-11 17:56:12.995179 UTC,2020-12-14 17:04:21.611229 UTC,2,0.00018,google,9e-05,(data deleted)
53104811.8176614311,2021-01-01 14:10:49.233373 UTC,2021-01-01 14:10:49.233373 UTC,1,0.000137,google,0.000137,google
53418806.5482216471,2020-12-18 10:50:10.21757 UTC,2020-12-18 11:12:32.507153 UTC,3,0.000147,google,4.9e-05,google
57032373.6609455190,2020-12-05 20:55:53.878178 UTC,2020-12-05 20:55:53.878178 UTC,1,6.9e-05,<Other>,6.9e-05,<Other>
59495950.2019580073,2020-12-10 05:53:05.67853 UTC,2020-12-10 05:53:05.67853 UTC,1,0.000136,(direct),0.000136,(direct)
61381411.6432434571,2020-12-11 18:02:13.488497 UTC,2020-12-11 18:02:13.488497 UTC,1,5.2e-05,google,5.2e-05,google
61771221.3119798942,2020-12-03 21:16:53.60274 UTC,2020-12-03 21:16:53.60274 UTC,1,3.2e-05,(direct),3.2e-05,(direct)
63900282.3363580230,2020-11-24 08:10:14.582838 UTC,2020-11-24 08:10:14.66911 UTC,2,9.6e-05,(direct),4.8e-05,(direct)
6948012.9754264018,2020-12-14 14:48:05.902606 UTC,2020-12-14 14:48:05.902606 UTC,1,8.3e-05,<Other>,8.3e-05,<Other>
74206339.1857618156,2021-01-13 05:44:07.869904 UTC,2021-01-13 05:44:07.869904 UTC,1,9.2e-05,<Other>,9.2e-05,<Other>
